"","long","lat","year","TimePeriod","RCP","scenario","treecanopy","Ann_Herb","Bare","Herb","Litter","Shrub","DrySoilDays_Summer_whole","Evap_Summer","ExtremeShortTermDryStress_Summer_whole","FrostDays_Winter","NonDrySWA_Summer_whole","PPT_Winter","PPT_Summer","T_Winter","T_Summer","Tmax_Summer","Tmin_Winter","VWC_Winter_whole","VWC_Spring_whole","VWC_Summer_whole","VWC_Fall_whole","uqID"
"1",-110.0472,37.60413,1980,"Hist","historical","sc1",0,0,84,5,11,7,0,1.55980740209263,36.16,75,0.032114067129453,13.79,2.69,0.9648352,23.15924,37.05,-12.45,0.113446870121374,0.0968307000817686,0.0418759016244813,0.0522975530246468,"-110.0472 37.60413 1980 sc1"
"2",-110.0472,37.60413,1981,"Hist","historical","sc1",0,0,84,5,11,7,0,5.04287767405195,36.08,79,0.0336629892919844,2.25,9.39,3.334444,23.27065,37.55,-9.35,0.0493818429749227,0.0607271763138207,0.042638677058618,0.0936706801337167,"-110.0472 37.60413 1981 sc1"
"3",-110.0472,37.60413,1982,"Hist","historical","sc1",0,0,84,5,11,7,0,4.52763633268981,34.99,83,0.199382236644228,4.12,9.5,-0.01555556,22.05707,36.65,-16.55,0.10923419815776,0.074816656350205,0.0456102614659084,0.067789179449076,"-110.0472 37.60413 1982 sc1"
"4",-110.0472,37.60413,1983,"Hist","historical","sc1",0,0,84,5,11,7,0,5.16957570938265,33.69,85,0.0960442305282496,7.09,10.22,0.4094444,21.32826,34.55,-15.05,0.120417790064078,0.102542232457485,0.0441405045657255,0.0748017843161072,"-110.0472 37.60413 1983 sc1"
"5",-110.0472,37.60413,1984,"Hist","historical","sc1",0,0,84,5,11,7,0,5.23033244044802,34.01,91,0.0452782946446141,4.77,9.49,-1.047253,21.95978,35.35,-18.45,0.12020917105988,0.0778415353800625,0.0431793329961535,0.0703661709360139,"-110.0472 37.60413 1984 sc1"
"6",-110.0472,37.60413,1985,"Hist","historical","sc1",0,0,84,5,11,7,0,2.11554587261908,36.32,87,0.105145995850471,7.66,4.81,-0.94,23.38859,37.55,-18.15,0.118680855786845,0.106539194509477,0.0433948666674286,0.107372502142818,"-110.0472 37.60413 1985 sc1"
"7",-110.0472,37.60413,1986,"Hist","historical","sc1",0,0,84,5,11,7,0,4.43476135841756,34.18,74,0.112855619279218,2.19,9.85,2.294444,22.45109,35.05,-11.45,0.115208201489448,0.0759150799154722,0.0442455160278947,0.104274985193695,"-110.0472 37.60413 1986 sc1"
"8",-110.0472,37.60413,1987,"Hist","historical","sc1",0,0,84,5,11,7,0,4.57434459709152,33.22,85,0.312140124097063,6.03,11.04,-0.41,22.01576,34.25,-14.15,0.125524065448268,0.0917965501171645,0.0482605574067661,0.0806719957947334,"-110.0472 37.60413 1987 sc1"
"9",-110.0472,37.60413,1988,"Hist","historical","sc1",0,0,84,5,11,7,0,4.32010955987495,34.69,86,0.0267230035128102,5.44,7.98,-1.256593,23.25,35.75,-16.15,0.116751888373809,0.089994715502913,0.0424124689764448,0.0486616953770378,"-110.0472 37.60413 1988 sc1"
"10",-110.0472,37.60413,1989,"Hist","historical","sc1",0,0,84,5,11,7,0,3.27207236282375,36.62,86,0.0923744934809336,5.13,6.69,-1.843889,22.5125,38.25,-19.65,0.0491748863653843,0.0544614355128569,0.0436590329146498,0.0415335584513754,"-110.0472 37.60413 1989 sc1"
