,id,long,lat,hex_long,hex_lat
0,-110.0472 37.60413,-110.0472,37.60413,-110.0472,37.60254999999995
1,-110.0461 37.60334,-110.0461,37.60334,-110.04480882352942,37.6044447058823
2,-110.0458 37.60308,-110.0458,37.60308,-110.04480882352942,37.6006552941176
3,-110.0393 37.60519,-110.0393,37.60519,-110.03763529411768,37.60633941176465
4,-110.0389 37.60545,-110.0389,37.60545,-110.04002647058826,37.6044447058823
5,-110.0386 37.59621,-110.0386,37.59621,-110.03763529411768,37.59497117647055
6,-110.0376 37.60202,-110.0376,37.60202,-110.03763529411768,37.59876058823525
7,-110.0376 37.6044,-110.0376,37.6044,-110.03763529411768,37.60254999999995
8,-110.0365 37.60096,-110.0365,37.60096,-110.04241764705884,37.59497117647055
9,-110.0365 37.60334,-110.0365,37.60334,-110.04002647058826,37.6006552941176
10,-110.0355 37.59489,-110.0355,37.59489,-110.0352441176471,37.5930764705882
11,-110.0348 37.59067,-110.0348,37.59067,-110.0352441176471,37.5892870588235
12,-110.0345 37.60123,-110.0345,37.60123,-110.0352441176471,37.6006552941176
13,-110.0341 37.6044,-110.0341,37.6044,-110.03046176470593,37.6044447058823
14,-110.0338 37.58882,-110.0338,37.58882,-110.03285294117651,37.58739235294115
15,-110.0338 37.59991,-110.0338,37.59991,-110.03285294117651,37.59876058823525
16,-110.0334 37.60492,-110.0334,37.60492,-110.0352441176471,37.6044447058823
17,-110.0331 37.60915,-110.0331,37.60915,-110.0352441176471,37.608234117647
18,-110.0328 37.60334,-110.0328,37.60334,-110.03285294117651,37.60254999999995
19,-110.0321 37.60862,-110.0321,37.60862,-110.03046176470593,37.608234117647
20,-110.0314 37.58935,-110.0314,37.58935,-110.03046176470593,37.5892870588235
21,-110.03 37.59938,-110.03,37.59938,-110.02807058823535,37.59876058823525
22,-110.029 37.60598,-110.029,37.60598,-110.02567941176477,37.6044447058823
23,-110.029 37.61179,-110.029,37.61179,-110.02807058823535,37.61012882352935
24,-110.0286 37.60202,-110.0286,37.60202,-110.03046176470593,37.6006552941176
25,-110.0283 37.58671,-110.0283,37.58671,-110.03046176470593,37.5854976470588
26,-110.028 37.58011,-110.028,37.58011,-110.02807058823535,37.57981352941175
27,-110.028 37.59753,-110.028,37.59753,-110.02567941176477,37.5968658823529
28,-110.0273 37.60704,-110.0273,37.60704,-110.02567941176477,37.608234117647
29,-110.0262 37.60308,-110.0262,37.60308,-110.02807058823535,37.60254999999995
30,-110.0259 37.60809,-110.0259,37.60809,-110.02807058823535,37.60633941176465
31,-110.0245 37.57668,-110.0245,37.57668,-110.02328823529419,37.57602411764705
32,-110.0245 37.61496,-110.0245,37.61496,-110.02328823529419,37.61391823529405
33,-110.0242 37.61284,-110.0242,37.61284,-110.02567941176477,37.6120235294117
34,-110.0235 37.57377,-110.0235,37.57377,-110.02328823529419,37.57223470588235
35,-110.0218 37.59595,-110.0218,37.59595,-110.02328823529419,37.59497117647055
36,-110.0214 37.5846,-110.0214,37.5846,-110.02328823529419,37.58360294117645
37,-110.0208 37.57984,-110.0208,37.57984,-110.01850588235303,37.57981352941175
38,-110.0201 37.57192,-110.0201,37.57192,-110.0208970588236,37.57034
39,-110.0177 37.61205,-110.0177,37.61205,-110.01611470588244,37.6120235294117
40,-110.0173 37.6007,-110.0173,37.6007,-110.01611470588244,37.6006552941176
41,-110.017 37.61416,-110.017,37.61416,-110.01850588235303,37.61391823529405
42,-110.0153 37.61258,-110.0153,37.61258,-110.01372352941186,37.61391823529405
43,-110.0149 37.58143,-110.0149,37.58143,-110.01372352941186,37.57981352941175
44,-110.0146 37.61839,-110.0146,37.61839,-110.01372352941186,37.61770764705875
45,-110.0129 37.62472,-110.0129,37.62472,-110.01133235294128,37.6233917647058
46,-110.0129 37.62736,-110.0129,37.62736,-110.01133235294128,37.6271811764705
47,-110.0105 37.59252,-110.0105,37.59252,-110.0089411764707,37.59118176470585
48,-110.0105 37.6139,-110.0105,37.6139,-110.01133235294128,37.6120235294117
49,-110.0105 37.62208,-110.0105,37.62208,-110.0089411764707,37.62149705882345
50,-110.0101 37.62024,-110.0101,37.62024,-110.01133235294128,37.6196023529411
51,-110.0098 37.59964,-110.0098,37.59964,-110.0089411764707,37.59876058823525
52,-110.0094 37.61839,-110.0094,37.61839,-110.0089411764707,37.61770764705875
53,-110.0084 37.57324,-110.0084,37.57324,-110.0089411764707,37.57223470588235
54,-110.007 37.61733,-110.007,37.61733,-110.00655000000012,37.6158129411764
55,-110.0057 37.59436,-110.0057,37.59436,-110.00655000000012,37.5930764705882
