"","id","long","lat"
"1","-110.0472 37.60413",-110.0472,37.60413
"40","-110.0461 37.60334",-110.0461,37.60334
"79","-110.0458 37.60308",-110.0458,37.60308
"118","-110.0393 37.60519",-110.0393,37.60519
"157","-110.0389 37.60545",-110.0389,37.60545
"196","-110.0386 37.59621",-110.0386,37.59621
"235","-110.0376 37.60202",-110.0376,37.60202
"274","-110.0376 37.6044",-110.0376,37.6044
"313","-110.0365 37.60096",-110.0365,37.60096
"352","-110.0365 37.60334",-110.0365,37.60334
"391","-110.0355 37.59489",-110.0355,37.59489
"430","-110.0348 37.59067",-110.0348,37.59067
"469","-110.0345 37.60123",-110.0345,37.60123
"508","-110.0341 37.6044",-110.0341,37.6044
"547","-110.0338 37.58882",-110.0338,37.58882
"586","-110.0338 37.59991",-110.0338,37.59991
"625","-110.0334 37.60492",-110.0334,37.60492
"664","-110.0331 37.60915",-110.0331,37.60915
"703","-110.0328 37.60334",-110.0328,37.60334
"742","-110.0321 37.60862",-110.0321,37.60862
"781","-110.0314 37.58935",-110.0314,37.58935
"820","-110.03 37.59938",-110.03,37.59938
"859","-110.029 37.60598",-110.029,37.60598
"898","-110.029 37.61179",-110.029,37.61179
"937","-110.0286 37.60202",-110.0286,37.60202
"976","-110.0283 37.58671",-110.0283,37.58671
"1015","-110.028 37.58011",-110.028,37.58011
"1054","-110.028 37.59753",-110.028,37.59753
"1093","-110.0273 37.60704",-110.0273,37.60704
"1132","-110.0262 37.60308",-110.0262,37.60308
"1171","-110.0259 37.60809",-110.0259,37.60809
"1210","-110.0245 37.57668",-110.0245,37.57668
"1249","-110.0245 37.61496",-110.0245,37.61496
"1288","-110.0242 37.61284",-110.0242,37.61284
"1327","-110.0235 37.57377",-110.0235,37.57377
"1366","-110.0218 37.59595",-110.0218,37.59595
"1405","-110.0214 37.5846",-110.0214,37.5846
"1444","-110.0208 37.57984",-110.0208,37.57984
"1483","-110.0201 37.57192",-110.0201,37.57192
"1522","-110.0177 37.61205",-110.0177,37.61205
"1561","-110.0173 37.6007",-110.0173,37.6007
"1600","-110.017 37.61416",-110.017,37.61416
"1639","-110.0153 37.61258",-110.0153,37.61258
"1678","-110.0149 37.58143",-110.0149,37.58143
"1717","-110.0146 37.61839",-110.0146,37.61839
"1756","-110.0129 37.62472",-110.0129,37.62472
"1795","-110.0129 37.62736",-110.0129,37.62736
"1834","-110.0105 37.59252",-110.0105,37.59252
"1873","-110.0105 37.6139",-110.0105,37.6139
"1912","-110.0105 37.62208",-110.0105,37.62208
"1951","-110.0101 37.62024",-110.0101,37.62024
"1990","-110.0098 37.59964",-110.0098,37.59964
"2029","-110.0094 37.61839",-110.0094,37.61839
"2068","-110.0084 37.57324",-110.0084,37.57324
"2107","-110.007 37.61733",-110.007,37.61733
"2146","-110.0057 37.59436",-110.0057,37.59436
"2185","-110.0057 37.61284",-110.0057,37.61284
"2224","-110.005 37.61892",-110.005,37.61892
"2263","-110.005 37.62657",-110.005,37.62657
"2302","-110.0046 37.57034",-110.0046,37.57034
"2341","-110.0033 37.59806",-110.0033,37.59806
"2380","-110.0033 37.61707",-110.0033,37.61707
"2419","-110.0029 37.62156",-110.0029,37.62156
"2458","-110.0022 37.57324",-110.0022,37.57324
"2497","-110.0022 37.5846",-110.0022,37.5846
"2536","-110.0022 37.60915",-110.0022,37.60915
"2575","-110.0019 37.57879",-110.0019,37.57879
