"","id","long","lat","comp","shrubland","treecover","barren","dry2018","dry1980","frost2018","frost1980","summerT2018","summerT1980"
"1","-110.0472 37.60413",-110.0472,37.60413,"-110.0472 37.60413",23,0,84,0,0,69,75,24.55,23.15924
"40","-110.0461 37.60334",-110.0461,37.60334,"-110.0461 37.60334",23,6,77,0,0,69,75,24.55,23.15924
"79","-110.0458 37.60308",-110.0458,37.60308,"-110.0458 37.60308",30,11,70,0,0,69,75,24.55,23.15924
"118","-110.0393 37.60519",-110.0393,37.60519,"-110.0393 37.60519",34,9,58,0,0,69,75,24.55,23.15924
"157","-110.0389 37.60545",-110.0389,37.60545,"-110.0389 37.60545",30,7,62,0,0,69,75,24.55,23.15924
"196","-110.0386 37.59621",-110.0386,37.59621,"-110.0386 37.59621",27,7,63,0,0,69,75,24.55,23.15924
"235","-110.0376 37.60202",-110.0376,37.60202,"-110.0376 37.60202",25,5,65,0,0,69,75,24.55,23.15924
"274","-110.0376 37.6044",-110.0376,37.6044,"-110.0376 37.6044",32,15,65,0,0,69,75,24.55,23.15924
"313","-110.0365 37.60096",-110.0365,37.60096,"-110.0365 37.60096",35,6,59,0,0,69,74,24.31141,23.06576
"352","-110.0365 37.60334",-110.0365,37.60334,"-110.0365 37.60334",21,0,80,0,0,69,74,24.31141,23.06576
"391","-110.0355 37.59489",-110.0355,37.59489,"-110.0355 37.59489",13,0,85,0,0,69,74,24.31141,23.06576
"430","-110.0348 37.59067",-110.0348,37.59067,"-110.0348 37.59067",48,0,47,0,0,69,74,24.31141,23.06576
"469","-110.0345 37.60123",-110.0345,37.60123,"-110.0345 37.60123",34,8,56,0,0,69,74,24.31141,23.06576
"508","-110.0341 37.6044",-110.0341,37.6044,"-110.0341 37.6044",34,15,58,0,0,69,74,24.31141,23.06576
"547","-110.0338 37.58882",-110.0338,37.58882,"-110.0338 37.58882",40,21,49,77,83,69,74,24.31141,23.06576
"586","-110.0338 37.59991",-110.0338,37.59991,"-110.0338 37.59991",29,6,73,0,0,69,74,24.31141,23.06576
"625","-110.0334 37.60492",-110.0334,37.60492,"-110.0334 37.60492",26,0,68,0,0,69,74,24.31141,23.06576
"664","-110.0331 37.60915",-110.0331,37.60915,"-110.0331 37.60915",41,14,49,78,83,69,74,24.31141,23.06576
"703","-110.0328 37.60334",-110.0328,37.60334,"-110.0328 37.60334",6,0,93,0,0,69,74,24.31141,23.06576
"742","-110.0321 37.60862",-110.0321,37.60862,"-110.0321 37.60862",28,0,64,0,0,69,74,24.31141,23.06576
"781","-110.0314 37.58935",-110.0314,37.58935,"-110.0314 37.58935",59,12,34,0,0,69,74,24.31141,23.06576
"820","-110.03 37.59938",-110.03,37.59938,"-110.03 37.59938",90,0,28,0,0,69,74,24.31141,23.06576
"859","-110.029 37.60598",-110.029,37.60598,"-110.029 37.60598",32,6,56,80,83,69,74,24.31141,23.06576
"898","-110.029 37.61179",-110.029,37.61179,"-110.029 37.61179",30,20,53,0,0,69,74,24.31141,23.06576
"937","-110.0286 37.60202",-110.0286,37.60202,"-110.0286 37.60202",31,10,64,0,0,69,74,24.31141,23.06576
"976","-110.0283 37.58671",-110.0283,37.58671,"-110.0283 37.58671",32,18,58,0,0,72,77,24.33587,23.03804
"1015","-110.028 37.58011",-110.028,37.58011,"-110.028 37.58011",32,12,56,0,0,72,77,24.33587,23.03804
"1054","-110.028 37.59753",-110.028,37.59753,"-110.028 37.59753",37,16,63,0,0,69,74,24.31141,23.06576
"1093","-110.0273 37.60704",-110.0273,37.60704,"-110.0273 37.60704",33,0,57,0,0,69,74,24.31141,23.06576
"1132","-110.0262 37.60308",-110.0262,37.60308,"-110.0262 37.60308",30,16,61,0,0,69,74,24.31141,23.06576
"1171","-110.0259 37.60809",-110.0259,37.60809,"-110.0259 37.60809",8,0,91,78,84,69,74,24.31141,23.06576
"1210","-110.0245 37.57668",-110.0245,37.57668,"-110.0245 37.57668",49,22,41,0,0,72,77,24.33587,23.03804
"1249","-110.0245 37.61496",-110.0245,37.61496,"-110.0245 37.61496",25,4,65,0,0,69,74,24.31141,23.06576
"1288","-110.0242 37.61284",-110.0242,37.61284,"-110.0242 37.61284",29,7,70,78,83,69,74,24.31141,23.06576
"1327","-110.0235 37.57377",-110.0235,37.57377,"-110.0235 37.57377",38,21,52,0,0,72,77,24.33587,23.03804
"1366","-110.0218 37.59595",-110.0218,37.59595,"-110.0218 37.59595",13,0,87,0,0,69,74,24.31141,23.06576
"1405","-110.0214 37.5846",-110.0214,37.5846,"-110.0214 37.5846",62,0,37,0,0,72,77,24.33587,23.03804
"1444","-110.0208 37.57984",-110.0208,37.57984,"-110.0208 37.57984",31,15,64,0,0,72,77,24.33587,23.03804
"1483","-110.0201 37.57192",-110.0201,37.57192,"-110.0201 37.57192",34,22,57,0,0,72,77,24.33587,23.03804
"1522","-110.0177 37.61205",-110.0177,37.61205,"-110.0177 37.61205",27,16,67,0,0,69,74,24.31141,23.06576
"1561","-110.0173 37.6007",-110.0173,37.6007,"-110.0173 37.6007",43,21,48,0,0,69,74,24.31141,23.06576
"1600","-110.017 37.61416",-110.017,37.61416,"-110.017 37.61416",72,0,25,0,0,69,74,24.31141,23.06576
"1639","-110.0153 37.61258",-110.0153,37.61258,"-110.0153 37.61258",52,0,39,0,0,69,74,24.31141,23.06576
"1678","-110.0149 37.58143",-110.0149,37.58143,"-110.0149 37.58143",14,0,85,0,0,72,77,24.33587,23.03804
"1717","-110.0146 37.61839",-110.0146,37.61839,"-110.0146 37.61839",35,12,60,0,0,69,74,24.31141,23.06576
"1756","-110.0129 37.62472",-110.0129,37.62472,"-110.0129 37.62472",28,0,65,0,0,69,74,24.31141,23.06576
"1795","-110.0129 37.62736",-110.0129,37.62736,"-110.0129 37.62736",10,0,87,76,73,69,74,24.31141,23.06576
"1834","-110.0105 37.59252",-110.0105,37.59252,"-110.0105 37.59252",42,15,50,0,0,69,74,24.31141,23.06576
"1873","-110.0105 37.6139",-110.0105,37.6139,"-110.0105 37.6139",58,0,27,0,0,69,74,24.31141,23.06576
"1912","-110.0105 37.62208",-110.0105,37.62208,"-110.0105 37.62208",24,19,69,0,0,69,74,24.31141,23.06576
"1951","-110.0101 37.62024",-110.0101,37.62024,"-110.0101 37.62024",24,7,77,0,0,69,74,24.31141,23.06576
"1990","-110.0098 37.59964",-110.0098,37.59964,"-110.0098 37.59964",51,23,45,0,0,69,74,24.31141,23.06576
"2029","-110.0094 37.61839",-110.0094,37.61839,"-110.0094 37.61839",29,13,66,0,0,69,74,24.31141,23.06576
"2068","-110.0084 37.57324",-110.0084,37.57324,"-110.0084 37.57324",47,6,45,0,0,72,77,24.33587,23.03804
"2107","-110.007 37.61733",-110.007,37.61733,"-110.007 37.61733",48,0,56,0,0,69,74,24.31141,23.06576
"2146","-110.0057 37.59436",-110.0057,37.59436,"-110.0057 37.59436",23,13,72,0,0,69,74,24.31141,23.06576
"2185","-110.0057 37.61284",-110.0057,37.61284,"-110.0057 37.61284",51,26,39,0,0,69,74,24.31141,23.06576
"2224","-110.005 37.61892",-110.005,37.61892,"-110.005 37.61892",26,0,65,0,0,69,74,24.31141,23.06576
